from,to,edge,core,mechanism,cites,cites_empirical,cite_weight,edge_betweenness,detail,type,title,color,value
House-Senate Delegation alignment,pork spending,decreases,NA,NA,Chen 2010,NA,1,13,decreases<br><br>Chen 2010,decreases,<p>decreases<br><br>Chen 2010</p>,#b14552,1
incumbent's constituents change,number of competitive districts,increases (but only meaningfully for already fairly competitive districts),NA,NA,NA,NA,1,24,increases (but only meaningfully for already fairly competitive districts)<br><br>,increases (but only meaningfully for already fairly competitive districts),<p>increases (but only meaningfully for already fairly competitive districts)<br><br></p>,#81a275,1
stability in voters' fellow constituents,voter sense of place,increases heterogeneously by race,NA,NA,Hayes & McKee 2011,Hayes & McKee 2011,1,10,increases heterogeneously by race<br><br>Hayes & McKee 2011,increases heterogeneously by race,<p>increases heterogeneously by race<br><br>Hayes & McKee 2011</p>,#81a275,1
voter information about their district,rolloff,decreases,NA,NA,Winburn & Wagner 2010,Winburn & Wagner 2010,1,1,decreases<br><br>Winburn & Wagner 2010,decreases,<p>decreases<br><br>Winburn & Wagner 2010</p>,#b14552,1
voter information about their district,turnout,decreases,NA,NA,Winburn & Wagner 2010,Winburn & Wagner 2010,1,10,decreases<br><br>Winburn & Wagner 2010,decreases,<p>decreases<br><br>Winburn & Wagner 2010</p>,#b14552,1
voter information about their district,split ticket voting,increases,NA,NA,Winburn & Wagner 2010,Winburn & Wagner 2010,1,10,increases<br><br>Winburn & Wagner 2010,increases,<p>increases<br><br>Winburn & Wagner 2010</p>,#81a275,1
electorate composition change,campaign resource allocation,no effect,NA,"Candidates have their own campaign style, so their resource allocation decisions do not change even when the electoral circumstances change.",Limbocker & You 2020,Limbocker & You 2020,1,2,"no effect<br>Candidates have their own campaign style, so their resource allocation decisions do not change even when the electoral circumstances change.<br>Limbocker & You 2020",no effect,"<p>no effect<br>Candidates have their own campaign style, so their resource allocation decisions do not change even when the electoral circumstances change.<br>Limbocker & You 2020</p>",#617d9f,1
geographic partisan distribution,partisan advantage,affects,NA,"Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.",Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020,Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020,3,24,"affects<br>Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.<br>Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020",affects,"<p>affects<br>Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.<br>Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020</p>",#617d9f,3
preserve communities of interest,stability in voters' fellow constituents,increases,NA,NA,Winburn & Wagner 2010,NA,1,18,increases<br><br>Winburn & Wagner 2010,increases,<p>increases<br><br>Winburn & Wagner 2010</p>,#81a275,1
preserve communities of interest,voter information about their district,increases,NA,NA,Winburn & Wagner 2010,NA,1,27,increases<br><br>Winburn & Wagner 2010,increases,<p>increases<br><br>Winburn & Wagner 2010</p>,#81a275,1
preserve communities of interest,rolloff,decreases heterogeneously by race,NA,NA,Hayes & McKee 2011; Winburn & Wagner 2010,Hayes & McKee 2011,2,9,decreases heterogeneously by race<br><br>Hayes & McKee 2011; Winburn & Wagner 2010,decreases heterogeneously by race,<p>decreases heterogeneously by race<br><br>Hayes & McKee 2011; Winburn & Wagner 2010</p>,#b14552,2
number of competitive districts,elite polarization,decreases,NA,Safe partisan seats tend to increase partisan polarization.,Grainger 2010,Grainger 2010,1,2.5,decreases<br>Safe partisan seats tend to increase partisan polarization.<br>Grainger 2010,decreases,<p>decreases<br>Safe partisan seats tend to increase partisan polarization.<br>Grainger 2010</p>,#b14552,1
partisan advantage,floor votes align with district preferences,decreases,NA,TODO,Caughey et al. 2017,NA,1,9,decreases<br>TODO<br>Caughey et al. 2017,decreases,<p>decreases<br>TODO<br>Caughey et al. 2017</p>,#b14552,1
partisan advantage,floor votes align with state preferences,decreases,NA,TODO,Caughey et al. 2017,NA,1,9,decreases<br>TODO<br>Caughey et al. 2017,decreases,<p>decreases<br>TODO<br>Caughey et al. 2017</p>,#b14552,1
partisan advantage,partisan advantage,NA,NA,Measures of partisan symmetry/bias/advantage,"Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020",NA,3,0,"<br>Measures of partisan symmetry/bias/advantage<br>Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020",NA,"<p><br>Measures of partisan symmetry/bias/advantage<br>Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020</p>",NA,3
partisan advantage,legislator voting,no effect,NA,Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should),Lo 2013,Lo 2013,1,9,no effect<br>Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should)<br>Lo 2013,no effect,<p>no effect<br>Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should)<br>Lo 2013</p>,#617d9f,1
partisan advantage,elite polarization,no effect,NA,"Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme",Lo 2013,NA,1,4.5,"no effect<br>Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme<br>Lo 2013",no effect,"<p>no effect<br>Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme<br>Lo 2013</p>",#617d9f,1
partisan advantage,efficiency gap,no effect,NA,"Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.",Chen & Cottrell 2016,Chen & Cottrell 2016,1,15,"no effect<br>Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.<br>Chen & Cottrell 2016",no effect,"<p>no effect<br>Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.<br>Chen & Cottrell 2016</p>",#617d9f,1
partisan advantage,number of competitive districts,increases,NA,"Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.",Goedert 2017; Goedert 2014,"Goedert 2017, Yoshinaka & Murhpy 2011; Goedert 2014",2,30,"increases<br>Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.<br>Goedert 2017; Goedert 2014",increases,"<p>increases<br>Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.<br>Goedert 2017; Goedert 2014</p>",#81a275,2
proportionality,House-Senate Delegation alignment,increases,NA,NA,Chen 2010,NA,1,24,increases<br><br>Chen 2010,increases,<p>increases<br><br>Chen 2010</p>,#81a275,1
compactness,minority representation,decreases,NA,"Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.",Webster 2013,NA,1,1,"decreases<br>Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.<br>Webster 2013",decreases,"<p>decreases<br>Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.<br>Webster 2013</p>",#b14552,1
